,House member,political_party,number_of_terms,gender,university,age,ethnicity,religion,leadership_role ,previous_experience,veteran_status,rural_urban ,field_study,school_status,state,kids,degree_status,voting_privilege,,,,
HM167,"James Comer (R, 1st) House of Representatives",1,4,1,1,52,0,0,1,1,0,0,2,0,Kentucky,3,1,1,,,,
HM168,"Brett Guthrie (R, 2nd) House of Representatives",1,8,1,1,59,0,0,0,1,0,0,3,0,Kentucky,2,3,1,,,,
HM169,"Morgan McGarvey (D, 3rd) House of Representatives",2,1,1,1,44,0,0,0,1,1,2,1,1,Kentucky,3,3,1,,,,
HM170,"Thomas Massie (R, 4th) House of Representatives",1,6,1,1,53,0,0,0,1,0,0,3,1,Kentucky,4,3,1,,,,
HM171,"Harold Rogers (R, 5th) House of Representatives",1,22,1,1,86,0,0,1,1,0,0,2,0,Kentucky,2,3,1,,,,
HM172,"Andy Barr (R, 6th)",1,6,1,1,51,0,0,0,1,1,1,1,0,Kentucky,2,3,1,,,,
HM173,"Steve Scalise (R, 1st) House of Representatives",1,9,1,1,59,0,0,3,1,0,0,2,0,Louisiana,2,3,1,,,,
HM174,"Troy Carter (D, 2nd) House of Representatives",2,2,1,1,61,1,0,0,1,1,2,0,0,Louisiana,2,3,1,,,,
HM175,"Clay Higgins (R, 3rd) House of Representatives",1,5,1,1,62,0,0,0,1,0,0,2,0,Louisiana,4,1,1,,,,
HM176,"Mike Johnson (R, 4th) House of Representatives",1,5,1,1,52,0,0,2,1,0,0,1,0,Louisiana,4,3,1,,,,
HM177,"Julia Letlow (R, 5th) House of Representatives",1,2,0,1,43,0,0,0,1,1,0,0,0,Louisiana,2,3,1,,,,
HM178,"Cleo Fields (D, 6th)",2,2,1,1,62,1,0,0,1,1,2,1,0,Louisiana,3,3,1,,,,
HM179,"Chellie Pingree (D, 1st) House of Representatives",2,8,0,1,69,0,0,0,1,1,1,0,0,Maine,1,1,1,,,,
HM180,"Jared Golden (D, 2nd)",2,3,1,1,42,0,0,0,1,0,0,0,0,Maine,2,1,1,,,,
HM181,"Andy Harris (R, 1st) House of Representatives",1,7,1,1,67,0,0,0,1,0,0,3,1,Maryland,5,3,1,,,,
